Gene,Pathway,Tissue,GDR,Mutation,D1,D2,D3,D4,D5,D6
G19598,Pathway6,Skin,Noevidence,8220,1.62,7.51,4.69,7.57,62.2,57
G6927,Pathway4,Brain,Strong,4138,1.01,6.38,4.05,6.26,64.2,56
G14715,Pathway5,Kidney,Limited,605,0.3,4.28,2.64,4.3,61.5,58
G3457,Pathway1,Brain,Noevidence,3389,0.78,5.92,3.69,5.95,62.2,55
G22518,Pathway2,Liver,Noevidence,10556,1.21,6.86,4.25,6.9,61.8,53
G12558,Pathway5,Liver,Noevidence,5277,1.06,6.57,4.03,6.61,61.2,55
G6308,Pathway5,Skin,Moderate,4023,1.01,6.29,4.05,6.38,63.9,56
G35144,Pathway3,Liver,Noevidence,889,0.38,4.67,2.85,4.64,61.2,57
G29495,Pathway2,Liver,Noevidence,702,0.32,4.37,2.74,4.38,62.6,53
G40844,Pathway4,Lymphnode,Moderate,1173,0.4,4.69,2.91,4.73,61.8,58
G28687,Pathway4,Breast,Noevidence,678,0.36,4.55,2.84,4.57,62.3,57
G24920,Pathway6,Brain,Limited,13367,1.91,7.91,4.97,7.87,63,59
G27498,Pathway6,Liver,Limited,18193,2.07,8.18,5.01,8.2,61.2,58
G36428,Pathway1,Liver,Noevidence,942,0.31,4.4,2.69,4.37,61.3,57
G31514,Pathway2,Brain,Noevidence,765,0.34,4.52,2.78,4.49,61.7,56
G52066,Pathway3,Brain,Noevidence,2453,0.7,5.59,3.51,5.62,62.6,57
G19325,Pathway3,Brain,Limited,8033,1.51,7.36,4.54,7.28,62,57
G38880,Pathway1,Liver,Limited,1050,0.4,4.76,2.93,4.73,61.7,59
G48886,Pathway2,Brain,Strong,2038,0.7,5.53,3.61,5.58,65,57
G15266,Pathway5,Brain,Limited,6129,1.2,6.92,4.2,6.84,61,58
G36241,Pathway4,Brain,Noevidence,934,0.46,4.95,3.09,4.98,62.2,53.4
G24736,Pathway5,Brain,Limited,13078,1.72,7.63,4.79,7.59,62.9,58
G19410,Pathway1,Kidney,Limited,8065,1.01,6.36,3.94,6.3,62.2,59
G18823,Pathway3,Breast,Moderate,7710,1,6.49,3.89,6.53,59.8,58
G20504,Pathway2,Skin,Limited,8835,1.64,7.54,4.66,7.51,61.9,61
G9179,Pathway6,Brain,Noevidence,4543,1.04,6.55,4.08,6.48,62.6,56
G49837,Pathway3,Kidney,Noevidence,2168,0.52,5.16,3.19,5.2,61.6,57
G28047,Pathway4,Breast,Moderate,660,0.32,4.45,2.71,4.48,60.8,56
G20272,Pathway1,Liver,Limited,8693,1.2,6.78,4.16,6.72,61.6,60
G41517,Pathway1,Breast,Noevidence,1235,0.44,4.91,3.01,4.95,61.1,56
G6186,Pathway3,Brain,Strong,3994,0.91,6.05,3.91,6.1,64.4,60
G48644,Pathway6,Brain,Noevidence,537,0.31,4.37,2.71,4.34,62.2,56
G43088,Pathway2,Brain,Limited,1381,0.51,5.07,3.18,5.12,62.4,59
G22797,Pathway5,Liver,Moderate,10822,1.51,7.27,4.61,7.24,63.5,60
G26088,Pathway4,Brain,Limited,15322,2.03,8.14,5.02,8.09,61.9,59
G24982,Pathway5,Liver,Limited,13486,1.72,7.69,4.72,7.72,61.3,59
G42902,Pathway3,Brain,Strong,1361,0.59,5.46,3.24,5.5,59.1,58
G32367,Pathway2,Kidney,Noevidence,790,0.32,4.41,2.74,4.43,62,54
G25722,Pathway4,Brain,Noevidence,14637,2.03,8.1,5.01,8.05,62,57
G10206,Pathway5,Brain,Noevidence,4740,0.9,6.17,3.82,6.23,61.6,56
G36510,Pathway3,Blood,Noevidence,945,0.35,4.53,2.81,4.56,61.8,54
G33675,Pathway3,Kidney,Noevidence,837,0.32,4.39,2.68,4.43,60.8,58
G43688,Pathway3,Liver,Strong,1436,0.5,4.98,3.17,5.03,63.3,58
G25100,Pathway5,Liver,Limited,13626,1.76,7.72,4.79,7.68,62.2,60
G33063,Pathway3,Blood,Noevidence,814,0.3,4.27,2.67,4.31,62.2,56
G42322,Pathway3,Blood,Noevidence,1295,0.41,4.74,2.95,4.78,62,55
G21052,Pathway4,Breast,Limited,625,0.31,4.34,2.71,4.38,62.2,58
G28129,Pathway3,Kidney,Moderate,664,0.29,4.22,2.66,4.26,62.7,58
G1505,Pathway2,Brain,Noevidence,2993,0.75,5.83,3.57,5.86,61.1,57
G9915,Pathway5,Brain,Limited,4689,1.13,6.68,4.08,6.65,61.2,59
G21190,Pathway6,Liver,Limited,9341,1.61,7.73,4.5,7.68,58.4,59
G40071,Pathway4,Liver,Limited,1113,0.43,4.86,2.96,4.83,61.1,59
G14151,Pathway5,Skin,Limited,5740,1.25,6.95,4.25,6.85,61.6,54
G42202,Pathway4,Brain,Noevidence,1287,0.51,5.12,3.17,5.15,61.7,58
G9337,Pathway5,Skin,Noevidence,4580,1,6.39,3.98,6.43,62,55
G52495,Pathway2,Blood,Noevidence,2524,0.51,5.1,3.19,5.12,62.3,53.7
G48814,Pathway2,Skin,Strong,2026,0.7,5.75,3.46,5.8,59.9,57
G38798,Pathway4,Blood,Noevidence,1046,0.31,4.39,2.66,4.36,60.8,56
G40019,Pathway3,Breast,Strong,1109,0.46,5.11,2.87,5.05,56.5,61
G19977,Pathway7,Breast,Limited,8524,1.51,7.4,4.58,7.36,62.1,58
G43343,Pathway3,Brain,Strong,1406,0.51,5.08,3.22,5.05,63.6,58
G49966,Pathway2,Skin,Limited,540,0.3,4.26,2.66,4.22,62.7,59
G49407,Pathway5,Skin,Moderate,2106,0.75,5.89,3.57,5.93,60.4,60
G19032,Pathway2,Liver,Noevidence,621,0.3,4.3,2.65,4.34,61.3,57
G22285,Pathway1,Breast,Noevidence,10335,1.21,6.88,4.19,6.85,61,57
G26060,Pathway4,Kidney,Moderate,15265,1.52,7.25,4.57,7.29,62.9,59
G35346,Pathway5,Brain,Moderate,898,0.42,4.78,3.01,4.76,63.1,57
G39206,Pathway1,Breast,Noevidence,1065,0.35,4.53,2.78,4.58,61,56
G43822,Pathway2,Brain,Noevidence,1443,0.51,5.1,3.18,5.07,62.5,56
G27536,Pathway4,Skin,Noevidence,18293,2.06,8.16,5.06,8.09,62.3,56
G42384,Pathway1,Skin,Moderate,1306,0.5,5.14,3.13,5.16,60.8,55
G52511,Pathway1,Breast,Noevidence,2527,0.6,5.4,3.35,5.43,61.9,54.9
G28939,Pathway4,Kidney,Moderate,684,0.3,4.3,2.71,4.32,62.9,55
G5735,Pathway1,Skin,Strong,3891,0.92,6.12,3.89,6.18,63.3,59
G2009,Pathway7,Brain,Noevidence,3102,0.9,6.16,3.88,6.23,62.6,54
G30153,Pathway2,Brain,Limited,720,0.32,4.39,2.74,4.34,62.8,57
G39862,Pathway3,Blood,Noevidence,1101,0.38,4.62,2.88,4.67,62,54.7
G40028,Pathway3,Brain,Limited,1110,0.48,5.06,3.05,5,60.6,62
G18371,Pathway1,Liver,Noevidence,616,0.3,4.3,2.69,4.32,62.4,55
G22452,Pathway5,Liver,Limited,10478,1.5,7.32,4.46,7.25,61.2,61
G10413,Pathway5,Breast,Limited,4779,1.01,6.43,3.97,6.39,61.9,57
G24879,Pathway3,Brain,Limited,13298,1.62,7.53,4.7,7.48,62.6,58
G46472,Pathway2,Breast,Strong,1776,0.53,5.14,3.26,5.18,63.2,56
G37835,Pathway1,Liver,Noevidence,1002,0.33,4.5,2.73,4.47,60.9,55
G26700,Pathway5,Skin,Limited,429,0.35,4.47,2.78,4.5,62,58
G5109,Pathway3,Breast,Noevidence,3759,0.72,5.75,3.56,5.78,61.7,56
G53782,Pathway3,Blood,Noevidence,2728,0.58,5.33,3.3,5.38,61.6,57
G4969,Pathway5,Brain,Strong,3734,0.9,6.27,3.72,6.36,58.9,61
G53115,Pathway5,Brain,Noevidence,2616,0.78,5.9,3.62,5.94,61.1,57
G30084,Pathway6,Kidney,Noevidence,720,0.32,4.42,2.71,4.4,61.5,56
G8163,Pathway1,Blood,Moderate,4362,0.7,5.63,3.57,5.64,63.4,59
G18885,Pathway7,Liver,Moderate,7744,1.51,7.35,4.5,7.41,61,58
G53565,Pathway5,Lung,Limited,2695,1,6.39,3.93,6.43,61.3,60
G35947,Pathway3,Brain,Noevidence,475,0.3,4.3,2.69,4.34,62.3,54
G40570,Pathway4,Skin,Noevidence,1151,0.52,5.14,3.23,5.12,63,55
G9862,Pathway5,Liver,Noevidence,4678,0.91,6.2,3.85,6.14,62.4,56
G20715,Pathway3,Liver,Noevidence,625,0.31,4.35,2.7,4.38,61.9,54
G34510,Pathway4,Blood,Noevidence,868,0.33,4.43,2.77,4.46,62.3,55
G49242,Pathway2,Liver,Moderate,2085,0.6,5.34,3.37,5.38,62.9,59
G23988,Pathway1,Kidney,Noevidence,12150,1.13,6.78,4.09,6.83,60.1,57
G9408,Pathway6,Breast,Noevidence,4587,0.92,6.24,3.9,6.28,62.3,55
G20064,Pathway3,Liver,Noevidence,625,0.31,4.34,2.71,4.39,62.1,53
G14747,Pathway5,Liver,Noevidence,5937,1.14,6.72,4.13,6.68,61.6,56
G24604,Pathway1,Brain,Strong,12918,1.75,7.63,4.84,7.53,63.8,57
G1035,Pathway6,Breast,Moderate,2905,0.86,6.1,3.75,6.16,61.2,58
G5597,Pathway5,Brain,Limited,3869,1.01,6.47,3.99,6.37,62.1,57
G48345,Pathway5,Blood,Noevidence,1961,0.57,5.32,3.28,5.35,61.6,56
G36808,Pathway4,Lymphnode,Limited,956,0.3,4.32,2.65,4.29,61.6,60
G32129,Pathway6,Brain,Strong,784,0.41,4.7,2.99,4.67,63.8,57
G5126,Pathway4,Blood,Noevidence,3763,0.7,5.69,3.52,5.73,61.6,57
G39706,Pathway5,Brain,Moderate,1089,0.5,5.01,3.19,5.04,63.5,56
G52941,Pathway2,Brain,Limited,2592,0.7,5.68,3.49,5.64,61.7,62
G29225,Pathway4,Breast,Limited,695,0.31,4.36,2.69,4.31,62.1,58
G10230,Pathway4,Breast,Strong,4744,0.91,6.11,3.9,6.06,64.1,60
G2988,Pathway2,Liver,Noevidence,3301,0.72,5.81,3.55,5.84,60.9,56
G34361,Pathway3,Liver,Noevidence,863,0.41,4.76,2.99,4.79,62.6,57
G21999,Pathway4,Lymphnode,Limited,10065,1.09,6.64,4.06,6.6,61.3,58
G53488,Pathway2,Blood,Noevidence,2682,0.5,5.07,3.15,5.11,61.9,58
G51437,Pathway6,Liver,Noevidence,2374,0.74,5.83,3.6,5.81,61.9,57
G20582,Pathway7,Skin,Limited,8889,1.78,7.78,4.85,7.72,62.6,58
G7864,Pathway6,Brain,Moderate,4307,1.07,6.52,4.04,6.56,61.8,60
G52656,Pathway4,Brain,Noevidence,2548,0.72,5.78,3.59,5.81,61.9,54
G24165,Pathway5,Liver,Moderate,12339,1.88,7.86,4.94,7.81,63.1,55
G4165,Pathway3,Skin,Moderate,3552,0.9,6.25,3.81,6.28,60.8,55
G8448,Pathway5,Breast,Moderate,4412,1.01,6.32,4,6.27,63.5,56
G2268,Pathway1,Blood,Noevidence,3154,0.58,5.34,3.29,5.35,61.6,60
G27260,Pathway2,Brain,Moderate,17676,2.01,8.03,5.06,8.11,62.7,57
G40279,Pathway3,Skin,Moderate,494,0.35,4.56,2.79,4.57,61.2,55
G33806,Pathway2,Kidney,Limited,842,0.32,4.36,2.7,4.42,61.5,58
G15367,Pathway4,Breast,Moderate,605,0.3,4.23,2.64,4.28,62,60
G42128,Pathway3,Liver,Noevidence,1279,0.48,5.03,3.15,5.03,62.4,54
G30268,Pathway3,Liver,Moderate,725,0.3,4.25,2.69,4.23,63.4,59
G37587,Pathway3,Blood,Noevidence,990,0.32,4.42,2.72,4.4,61.7,56
G40215,Pathway4,Blood,Limited,1122,0.34,4.5,2.76,4.47,61.5,59
G30312,Pathway2,Breast,Noevidence,726,0.31,4.31,2.69,4.35,62.1,54.2
G26351,Pathway4,Breast,Moderate,645,0.32,4.35,2.73,4.4,62.4,58
G45793,Pathway5,Breast,Noevidence,1709,0.54,5.21,3.23,5.25,61.8,56
G41637,Pathway7,Liver,Noevidence,504,0.32,4.38,2.72,4.36,62.2,57
G12623,Pathway3,Brain,Limited,5292,1,6.48,3.91,6.45,60.5,56
G39879,Pathway4,Kidney,Noevidence,1103,0.42,4.89,2.96,4.86,60.7,55
G5549,Pathway6,Skin,Limited,3856,1.02,6.45,3.99,6.42,62,59
G18913,Pathway3,Breast,Limited,7762,1.1,6.7,4.06,6.64,60.9,61
G33614,Pathway4,Brain,Moderate,462,0.31,4.39,2.66,4.42,60.4,58
G12670,Pathway4,Brain,Noevidence,5303,1.07,6.59,4.09,6.56,62.2,57
G43474,Pathway2,Lymphnode,Noevidence,1419,0.41,4.75,2.97,4.81,62.1,54
G31110,Pathway7,Kidney,Moderate,754,0.41,4.67,2.96,4.71,63.1,60
G46389,Pathway4,Kidney,Strong,1764,0.5,5.04,3.22,5.08,63.6,57
G50373,Pathway3,Brain,Moderate,2250,0.7,5.61,3.54,5.66,62.8,57
G24182,Pathway7,Brain,Limited,12364,2.38,8.54,5.31,8.46,62.4,58
G53749,Pathway2,Lymphnode,Moderate,2724,0.56,5.31,3.2,5.38,59.9,60
G13916,Pathway6,Breast,Limited,5664,1.29,7.03,4.28,6.98,61.1,58
G51683,Pathway4,Skin,Limited,2398,0.74,5.77,3.63,5.75,63,56
G11329,Pathway6,Skin,Limited,4989,1.2,6.91,4.15,6.93,60,58
G41660,Pathway5,Liver,Strong,1239,0.5,5.21,2.94,5.24,56.3,65
G49393,Pathway4,Brain,Moderate,2104,0.71,5.7,3.57,5.76,62.3,57
G51556,Pathway2,Skin,Strong,2388,0.73,5.69,3.61,5.72,63.3,57
G31409,Pathway4,Blood,Noevidence,764,0.3,4.32,2.65,4.35,61.1,57
G4565,Pathway1,Breast,Limited,3644,0.77,5.85,3.62,5.8,62.1,57
G9328,Pathway2,Skin,Moderate,4579,1,6.35,4.01,6.32,63.3,58
G52497,Pathway6,Breast,Limited,2524,0.77,5.9,3.68,5.85,62.6,55
G8850,Pathway2,Brain,Strong,4480,1.01,6.35,4.06,6.31,64.1,59
G48744,Pathway7,Breast,Strong,2015,0.76,5.7,3.58,5.75,62.6,61.9
G11074,Pathway2,Brain,Moderate,4922,1.13,6.62,4.16,6.65,62.7,57
G27197,Pathway1,Lymphnode,Strong,17499,1.14,6.64,4.13,6.74,61.7,63
G16461,Pathway5,Brain,Noevidence,6578,1.2,6.78,4.21,6.82,61.9,56
G805,Pathway1,Brain,Noevidence,2863,0.71,5.8,3.52,5.77,60.8,56
G15232,Pathway4,Breast,Limited,6115,1,6.38,3.94,6.33,62,62
G29564,Pathway2,Liver,Moderate,705,0.4,4.66,2.93,4.72,62.5,56
G38174,Pathway6,Lung,Definitive,1014,0.7,5.58,3.66,5.43,66.3,63
G31231,Pathway4,Brain,Definitive,756,0.45,4.73,3.19,4.5,68.6,57
G25682,Pathway3,Breast,Noevidence,642,0.31,4.38,2.68,4.4,61,56
G29165,Pathway3,Kidney,Definitive,693,0.33,4.37,2.85,4.3,65.7,54
G10213,Pathway2,Skin,Limited,4742,1.05,6.59,3.97,6.55,60.4,58
G10055,Pathway3,Blood,Moderate,591,0.26,4.13,2.53,4.14,61.2,60
G29490,Pathway4,Brain,Noevidence,702,0.4,4.77,2.89,4.83,60.2,56
G4749,Pathway6,Brain,Moderate,3685,0.93,6.43,3.8,6.48,58.9,60
G29577,Pathway3,Brain,Moderate,705,0.41,4.71,2.99,4.78,63,56
G47751,Pathway1,Liver,Noevidence,1892,0.54,5.19,3.2,5.29,61.1,57
G35092,Pathway3,Lymphnode,Noevidence,886,0.3,4.28,2.65,4.31,61.7,57
G45877,Pathway2,Breast,Moderate,1717,0.51,5.13,3.14,5.17,61,59
G28806,Pathway2,Liver,Noevidence,682,0.33,4.44,2.78,4.47,62.4,54
G21318,Pathway6,Liver,Noevidence,9471,1.51,7.49,4.47,7.42,59.9,56
G24362,Pathway5,Blood,Noevidence,636,0.3,4.31,2.68,4.34,62,56
G15594,Pathway6,Skin,Noevidence,6255,1.53,7.4,4.56,7.35,61.8,56
G28845,Pathway5,Brain,Noevidence,683,0.41,4.77,2.99,4.79,62.6,55
G11931,Pathway4,Skin,Noevidence,5127,1.05,6.45,4.06,6.51,62.7,57
G24924,Pathway5,Skin,Definitive,13370,2.13,8.09,5.19,8.01,64.5,58
G51554,Pathway4,Lung,Limited,2387,1.02,6.47,3.93,6.35,61.3,57
G51365,Pathway7,Breast,Noevidence,2365,0.78,5.88,3.65,5.91,61.9,57
G23594,Pathway4,Brain,Noevidence,11610,1.58,7.56,4.6,7.6,60.7,56
G49287,Pathway2,Skin,Strong,2092,0.7,5.71,3.43,5.78,59.7,63
G12332,Pathway2,Brain,Strong,5226,1.01,6.38,4.04,6.32,63.6,60
G21263,Pathway3,Kidney,Noevidence,9413,1.03,6.48,4.01,6.45,62,56
G9122,Pathway5,Breast,Strong,4535,0.96,6.22,3.99,6.27,63.9,54
G4040,Pathway6,Skin,Strong,3528,1,6.3,4.01,6.26,63.9,60
G37892,Pathway3,Brain,Moderate,1006,0.46,4.9,3.08,4.87,63.1,56
G12472,Pathway6,Brain,Limited,5250,1.25,6.89,4.28,6.81,62.5,59
G36443,Pathway1,Liver,Noevidence,942,0.31,4.36,2.72,4.34,62.5,56
G11117,Pathway2,Skin,Limited,4936,1.13,6.78,4.14,6.7,61.4,59
G36583,Pathway4,Lymphnode,Noevidence,946,0.33,4.47,2.75,4.51,61.2,56
G8402,Pathway3,Brain,Noevidence,4401,0.9,6.21,3.78,6.25,60.7,57
G728,Pathway4,Liver,Moderate,556,0.34,4.54,2.71,4.56,59.6,62
G40521,Pathway2,Skin,Moderate,1146,0.52,5.2,3.19,5.24,61.1,57
G4336,Pathway3,Lung,Noevidence,3599,1.02,6.53,3.98,6.51,61,56
G46923,Pathway4,Breast,Noevidence,1815,0.52,5.21,3.21,5.17,61.8,55
G39651,Pathway6,Brain,Moderate,1087,0.5,5.07,3.21,5.09,63.2,57
G39249,Pathway4,Blood,Noevidence,1068,0.41,4.74,2.97,4.78,62.4,55
G9762,Pathway5,Skin,Limited,4662,1.11,6.67,4.09,6.63,61.5,59
G39000,Pathway4,Brain,Limited,1055,0.47,5.09,2.97,5.06,58.5,60
G35294,Pathway6,Breast,Moderate,473,0.3,4.26,2.7,4.31,63,53
G50685,Pathway1,Liver,Strong,2288,0.62,5.62,3.29,5.55,58.9,64
G338,Pathway4,Liver,Limited,2803,0.77,5.93,3.62,5.88,61.3,57
G26129,Pathway4,Kidney,Noevidence,15415,1.54,7.36,4.59,7.43,62,54
G34332,Pathway4,Brain,Limited,861,0.41,4.74,2.97,4.72,62.8,58
G30120,Pathway4,Liver,Noevidence,720,0.32,4.41,2.73,4.39,62,57
G44501,Pathway3,Brain,Strong,1599,0.6,5.68,3.21,5.57,57.1,61
G4209,Pathway2,Kidney,Moderate,3565,0.73,5.81,3.51,5.85,60.2,60
G53604,Pathway3,Brain,Noevidence,2700,0.7,5.75,3.51,5.71,61.3,57
G3100,Pathway1,Blood,Noevidence,3321,0.52,5.2,3.18,5.24,60.9,56
G44644,Pathway5,Liver,Limited,521,0.33,4.48,2.72,4.52,60.4,60
G1236,Pathway4,Skin,Definitive,2942,1.03,6.3,4.12,6.24,65.7,59
G43899,Pathway5,Liver,Noevidence,509,0.27,4.19,2.53,4.17,60.5,57
G8436,Pathway1,Breast,Noevidence,4407,0.77,5.83,3.65,5.89,62.3,56
G22751,Pathway2,Brain,Limited,10767,1.52,7.34,4.59,7.37,62.4,59
G40694,Pathway3,Blood,Noevidence,1157,0.41,4.77,2.98,4.79,62.3,56
G17649,Pathway7,Liver,Moderate,7109,1.52,7.23,4.55,7.19,63.1,61
G20186,Pathway1,Skin,Noevidence,8631,1.52,7.35,4.59,7.28,62.7,56
G42097,Pathway2,Kidney,Noevidence,1274,0.44,4.88,3.03,4.91,61.9,56
G4989,Pathway3,Skin,Definitive,3740,1,6.19,4,6.1,65.1,60
G36432,Pathway1,Liver,Limited,942,0.31,4.41,2.71,4.36,61.8,57
G20811,Pathway4,Breast,Noevidence,9038,1.2,6.92,4.26,6.88,61.7,55
G32593,Pathway3,Blood,Noevidence,802,0.3,4.33,2.69,4.37,61.8,54
G22408,Pathway7,Breast,Limited,10429,1.75,7.7,4.8,7.74,62.2,59
G19590,Pathway3,Liver,Definitive,8216,1.4,6.83,4.52,6.76,66.5,56
G10681,Pathway5,Brain,Limited,4842,1.11,6.87,4,6.83,58.4,60
G43091,Pathway4,Liver,Limited,1381,0.51,5.17,3.17,5.2,61.1,58
G1866,Pathway2,Liver,Noevidence,3068,0.7,5.65,3.55,5.69,62.6,56
G32845,Pathway6,Kidney,Noevidence,807,0.4,4.74,2.95,4.77,62,56
G166,Pathway5,Blood,Moderate,2772,0.73,5.83,3.54,5.89,60.4,59
G7104,Pathway1,Skin,Noevidence,4167,0.9,6.26,3.8,6.24,60.8,56
G53915,Pathway6,Breast,Strong,2753,0.84,5.94,3.77,5.9,63.7,59
G32325,Pathway2,Liver,Noevidence,789,0.36,4.54,2.83,4.58,62.1,55
G4881,Pathway2,Brain,Noevidence,3715,0.79,5.94,3.69,6.04,61.6,55
G10148,Pathway6,Skin,Strong,4725,1.25,6.81,4.34,6.77,63.9,56
G2782,Pathway5,Skin,Moderate,3255,0.9,5.97,3.86,6.07,64.1,59
G25218,Pathway3,Liver,Moderate,13818,1.71,7.51,4.75,7.46,63.5,59
G44801,Pathway2,Liver,Limited,1624,0.5,5.05,3.16,5.09,62.3,60
G14868,Pathway5,Kidney,Strong,5988,1.01,6.35,4.03,6.39,63.3,57
G7596,Pathway4,Liver,Strong,4257,0.91,6.1,3.89,6.14,63.6,58
G2350,Pathway4,Liver,Noevidence,3172,0.7,5.65,3.65,5.7,62.7,54
G11231,Pathway4,Brain,Moderate,4964,1.02,6.35,4,6.38,62.8,57
G27653,Pathway4,Kidney,Noevidence,18599,1.71,7.63,4.75,7.66,62.1,55
G11650,Pathway1,Brain,Strong,5055,1.01,6.28,4.02,6.31,63.9,61
G6463,Pathway2,Breast,Noevidence,4053,0.71,5.7,3.54,5.73,61.9,56
G44354,Pathway4,Liver,Noevidence,1580,0.56,5.29,3.29,5.31,62.1,56
G44788,Pathway2,Liver,Limited,1624,0.5,5.07,3.12,5.11,61.3,60
G24905,Pathway4,Kidney,Moderate,13337,1.51,7.28,4.54,7.34,62.1,59
G49912,Pathway4,Breast,Noevidence,2182,0.61,5.48,3.38,5.5,61.5,56
G15758,Pathway2,Skin,Strong,6300,1.5,7.21,4.42,7.17,61.5,65
G22120,Pathway1,Kidney,Limited,10147,1.01,6.57,3.94,6.51,60.2,58
G51934,Pathway1,Breast,Noevidence,2440,0.63,5.52,3.41,5.55,61.6,55
G52014,Pathway4,Blood,Limited,2444,0.6,5.53,3.29,5.43,60,58
G31914,Pathway4,Breast,Moderate,776,0.3,4.3,2.71,4.26,63.3,56
G5432,Pathway3,Skin,Strong,3827,1.01,6.28,3.98,6.35,63,60
G34731,Pathway4,Blood,Moderate,876,0.32,4.41,2.71,4.45,61.2,59
G38063,Pathway2,Lymphnode,Noevidence,1013,0.3,4.31,2.64,4.33,61.1,57
G22771,Pathway6,Breast,Noevidence,10796,1.53,7.4,4.63,7.35,62.8,55
G44471,Pathway2,Brain,Noevidence,1594,0.54,5.31,3.25,5.26,61.5,56
G2658,Pathway2,Liver,Limited,3234,0.77,5.98,3.6,5.92,60.5,59
G16773,Pathway5,Brain,Noevidence,6681,1.23,6.92,4.25,6.89,61.5,57
G7942,Pathway2,Breast,Limited,4318,0.84,6.16,3.67,6.13,59.7,59
G11691,Pathway5,Brain,Noevidence,5065,1.07,6.6,4.08,6.66,61.5,56
G15872,Pathway4,Breast,Strong,6349,1,6.3,4.02,6.34,63.6,59
G40074,Pathway6,Brain,Noevidence,1114,0.54,5.25,3.25,5.29,61.7,56
G19828,Pathway6,Brain,Noevidence,8396,1.51,7.39,4.52,7.37,61.2,60
G24725,Pathway6,Skin,Moderate,13063,2.03,7.99,5.04,8.05,62.8,60
G7117,Pathway3,Skin,Limited,4171,0.95,6.26,3.89,6.21,62.4,59
G52966,Pathway3,Kidney,Noevidence,552,0.24,3.98,2.43,4.03,60.7,56
G35675,Pathway3,Brain,Noevidence,909,0.41,4.81,2.92,4.84,60.5,56
G17222,Pathway5,Liver,Moderate,6887,1.21,6.88,4.16,6.97,60.1,57
G42141,Pathway4,Skin,Limited,1280,0.55,5.28,3.25,5.23,61.8,56
G7339,Pathway2,Brain,Moderate,4211,0.91,6.1,3.78,6.12,61.9,61
G23135,Pathway6,Liver,Noevidence,11156,1.66,7.58,4.73,7.61,62.3,54
G8314,Pathway5,Brain,Strong,4389,1,6.32,3.88,6.36,61.2,62
G18469,Pathway7,Brain,Limited,7518,1.5,7.43,4.53,7.37,61.2,61
G2340,Pathway3,Liver,Noevidence,3171,0.74,5.79,3.61,5.83,62.1,56
G3740,Pathway4,Skin,Strong,570,0.41,4.7,3.01,4.75,63.7,55
G49022,Pathway3,Kidney,Strong,2052,0.5,5.23,3.07,5.27,58.5,62
G10243,Pathway5,Brain,Limited,4748,1.11,6.82,4,6.76,58.9,59
G8788,Pathway5,Brain,Strong,4469,1,6.31,4.02,6.28,63.9,56
G50280,Pathway6,Lung,Noevidence,2239,0.97,6.4,3.95,6.43,61.6,53
G17213,Pathway4,Breast,Limited,6882,1.01,6.53,4.01,6.46,61.7,56
G8190,Pathway5,Brain,Limited,4368,1.04,6.59,3.97,6.55,60.4,59
G34830,Pathway5,Blood,Limited,878,0.3,4.29,2.66,4.26,62.2,58
G27987,Pathway2,Liver,Noevidence,658,0.3,4.28,2.67,4.32,62.1,55
G1391,Pathway4,Blood,Noevidence,559,0.24,4.01,2.49,4.03,62,55
G30309,Pathway4,Liver,Noevidence,726,0.38,4.68,2.83,4.71,60.4,57
G544,Pathway3,Breast,Limited,2829,0.72,5.75,3.56,5.7,62.2,58
G4491,Pathway5,Skin,Strong,3627,0.9,6,3.86,5.96,64.5,58
G34660,Pathway2,Liver,Noevidence,872,0.31,4.35,2.68,4.33,61.8,55
G31395,Pathway4,Breast,Moderate,764,0.38,4.65,2.89,4.68,62,57
G29476,Pathway2,Liver,Limited,702,0.32,4.36,2.74,4.4,62.6,58
G1759,Pathway3,Breast,Moderate,3045,0.71,5.68,3.56,5.74,62.2,55
G41398,Pathway3,Blood,Noevidence,1223,0.42,4.81,3,4.83,62.2,53
G52594,Pathway6,Skin,Definitive,2540,0.96,6.07,3.97,5.9,66.3,58
G31784,Pathway2,Brain,Noevidence,773,0.42,4.81,3.02,4.84,62.6,57
G42038,Pathway6,Liver,Noevidence,1268,0.51,5.15,3.13,5.2,60.5,58
G33206,Pathway4,Blood,Noevidence,820,0.33,4.46,2.74,4.48,61.4,55
G14841,Pathway2,Skin,Moderate,5976,1.26,6.82,4.3,6.85,62.9,59
G23244,Pathway3,Liver,Limited,11255,1.5,7.37,4.5,7.35,61.1,59
G32592,Pathway4,Blood,Noevidence,802,0.32,4.4,2.74,4.43,62.1,54
G19685,Pathway5,Kidney,Limited,623,0.27,4.21,2.55,4.19,60.7,59
G22752,Pathway5,Breast,Strong,10769,1.54,7.34,4.65,7.4,63.1,57
G7739,Pathway6,Brain,Moderate,581,0.38,4.65,2.81,4.68,60.2,60
G8560,Pathway5,Skin,Limited,4435,1.1,6.6,4.12,6.56,62.6,57
G20491,Pathway4,Breast,Noevidence,8824,1.21,6.84,4.22,6.9,61.4,56
G28025,Pathway2,Liver,Noevidence,658,0.3,4.29,2.7,4.33,62.6,56
G9626,Pathway5,Kidney,Moderate,4637,0.9,6.29,3.74,6.19,59.9,61
G52144,Pathway6,Breast,Noevidence,2469,0.7,5.67,3.52,5.72,61.8,55
